CLADE,REPL1,REPL2,REPL3,REPL4,REPL5,REPL6,REPL7,REPL8,REPL9,REPL10,REPL11,REPL12,REPL13,REPL14,REPL15,REPL16,REPL17,REPL18,REPL19,REPL20,REPL21,REPL22,REPL23,REPL24,REPL25
"aptHaa,aptOwe,aptRow,casCas,cryCin,droNov,eudEle,notPer,rheAme,rhePen,tinGut",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"aptHaa,aptOwe,aptRow,casCas,droNov,rheAme,rhePen",NA,NA,0.7153,NA,0.4577,0.5208,0.5923,NA,0.5663,0.5719,0.4951,NA,0.4906,0.3814,0.6762,0.5923,NA,NA,NA,NA,0.8201,NA,0.9398,NA,NA
"aptHaa,aptOwe,aptRow,casCas,droNov",0.7016,NA,0.9106,0.8646,0.7913,0.9216,0.9846,0.8705,0.6176,0.6130,0.9915,0.8331,0.7700,0.9524,0.8325,0.8152,NA,0.5573,0.7141,0.9505,0.6918,0.5844,0.7150,0.9776,0.6669
"cryCin,eudEle,notPer,tinGut",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"aptHaa,aptOwe,aptRow",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"eudEle,notPer",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"aptHaa,aptOwe",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"rheAme,rhePen",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"cryCin,tinGut",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"casCas,droNov",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
